YEAR,WEEK,USER,TEAM,OPPONENT,RESULT,TEAM_SCORE,OPP_SCORE,OPP_RANK_AT_GAME,OPP_RANK_CURRENT,OPP_RANK_USED,game_control_score,rolling_3_game_control,trend_vs_prev,game_control_tier,close_escape,false_blowout,stealth_dominance,got_robbed_flag
2042,4,Josh,USF,San Jose State,L,23,28,3.0,24.0,3.0,49.19,74.55,-39.45,Toss-Up / Fragile,False,False,False,False
2042,4,Mike,San Jose State,USF,W,28,23,6.0,4.0,6.0,67.25,69.68,-7.38,Solid Control,False,False,False,False
2042,4,Nick,Florida State,South Carolina,W,56,19,,,,72.47,60.89,30.98,Solid Control,False,False,False,False
2042,4,Noah,Texas Tech,Oregon,W,45,21,10.0,16.0,10.0,82.34,84.61,-10.62,Strong Control,False,False,False,False
2042,5,Devin,Bowling Green,Florida,W,56,38,8.0,12.0,8.0,75.29,81.5,-4.15,Strong Control,False,False,False,False
2042,5,Doug,Florida,Bowling Green,L,38,56,3.0,1.0,3.0,41.9,58.76,-20.8,Outplayed / Survived,False,False,False,False
2042,5,Mike,San Jose State,Washington,L,36,57,,23.0,23.0,43.53,61.8,-23.72,Outplayed / Survived,False,False,False,False
2042,5,Nick,Florida State,Auburn,L,35,47,17.0,6.0,17.0,45.01,52.99,-27.46,Toss-Up / Fragile,False,False,False,True
2042,5,Noah,Texas Tech,USC,W,48,21,13.0,21.0,13.0,80.02,85.11,-2.32,Strong Control,False,False,False,False
2042,6,Devin,Bowling Green,Missouri,W,42,24,,,,70.43,75.05,-4.86,Solid Control,False,False,False,False
2042,6,Doug,Florida,Oklahoma State,W,56,49,11.0,21.0,11.0,63.83,56.14,21.93,Solid Control,True,False,False,False
2042,6,Josh,USF,Indiana,W,77,14,,,,82.81,73.55,33.62,Strong Control,False,False,False,False
2042,6,Mike,San Jose State,USC,W,52,35,21.0,21.0,21.0,71.73,60.84,28.2,Solid Control,False,False,False,False
2042,6,Nick,Florida State,Georgia,W,63,53,6.0,17.0,6.0,57.86,58.45,12.85,Toss-Up / Fragile,False,False,False,False
2042,6,Noah,Texas Tech,Purdue,W,60,26,,,,67.74,76.7,-12.28,Solid Control,False,False,False,False
2042,7,Devin,Bowling Green,South Carolina,W,49,0,,,,77.33,74.35,6.9,Strong Control,False,False,False,False
2042,7,Doug,Florida,Ole Miss,L,41,45,13.0,5.0,13.0,59.51,55.08,-4.32,Toss-Up / Fragile,False,False,False,False
2042,7,Josh,USF,Nebraska,W,56,31,6.0,13.0,6.0,82.22,71.41,-0.59,Strong Control,False,False,False,False
2042,7,Mike,San Jose State,Indiana,W,59,36,,,,65.25,60.17,-6.48,Solid Control,False,False,False,False
2042,7,Nick,Florida State,Miami,W,21,14,23.0,18.0,23.0,63.51,55.46,5.65,Solid Control,True,False,False,False
2042,7,Noah,Texas Tech,Penn State,W,59,24,22.0,25.0,22.0,76.97,74.91,9.23,Strong Control,False,False,False,False
2042,8,Devin,Bowling Green,Notre Dame,W,44,36,4.0,10.0,4.0,68.77,72.18,-8.56,Solid Control,False,False,False,False
2042,8,Doug,Florida,Tennessee,W,38,23,,19.0,19.0,70.18,64.51,10.67,Solid Control,False,False,False,False
2042,8,Josh,USF,Michigan,W,52,14,19.0,20.0,19.0,82.27,82.43,0.05,Strong Control,False,False,False,False
2042,8,Mike,San Jose State,Texas Tech,L,31,35,2.0,2.0,2.0,55.1,64.03,-10.15,Toss-Up / Fragile,False,False,False,True
2042,8,Nick,Florida State,Oklahoma,W,58,10,,23.0,23.0,80.61,67.33,17.1,Strong Control,False,False,False,False
2042,8,Noah,Texas Tech,San Jose State,W,35,31,6.0,24.0,6.0,61.4,68.7,-15.57,Solid Control,True,False,False,False
2042,9,Devin,Bowling Green,Oklahoma,W,35,28,,23.0,23.0,58.53,68.21,-10.24,Toss-Up / Fragile,True,False,False,False
2042,9,Doug,Florida,Alabama,W,31,20,,25.0,25.0,65.86,65.18,-4.32,Solid Control,False,False,False,False
2042,9,Josh,USF,Michigan State,W,56,19,,,,76.64,80.38,-5.63,Strong Control,False,False,False,False
2042,9,Mike,San Jose State,Nebraska,L,37,52,15.0,13.0,15.0,48.97,56.44,-6.13,Toss-Up / Fragile,False,False,False,True
2042,9,Noah,Texas Tech,Ohio State,W,49,35,17.0,19.0,17.0,77.09,71.82,15.69,Strong Control,False,False,False,False
2042,10,Devin,Bowling Green,Georgia,W,42,17,17.0,17.0,17.0,76.97,68.09,18.44,Strong Control,False,False,False,False
2042,10,Doug,Florida,Iowa,W,42,3,,21.0,21.0,83.36,73.13,17.5,Strong Control,False,False,False,False
2042,10,Josh,USF,Texas Tech,L,21,42,2.0,2.0,2.0,44.93,67.95,-31.71,Outplayed / Survived,False,False,False,True
2042,10,Mike,San Jose State,Michigan,W,30,27,20.0,20.0,20.0,60.15,54.74,11.18,Solid Control,True,False,False,False
2042,10,Noah,Texas Tech,USF,W,42,21,4.0,4.0,4.0,73.67,70.72,-3.42,Solid Control,False,False,False,False
