YEAR,ROUND,GAME_ID,TEAM1,SEED1,DISPLAY_RANK1,RECORD1,TEAM1_SCORE,TEAM2,SEED2,DISPLAY_RANK2,RECORD2,TEAM2_SCORE,WINNER,LOSER,COMPLETED,SOURCE,NOTES
2038,R1,2038_R1_2,North Texas,9,9,12-Feb,38,Oregon,8,8,11-Mar,40,Oregon,North Texas,1,Bracket screenshot,
2038,R1,2038_R1_3,Georgia Tech,11,11,10-Mar,24,Miami,6,6,12-Mar,31,Miami,Georgia Tech,1,Bracket screenshot,
2038,R1,2038_R1_4,Death Valley,10,10,10-Apr,28,Nebraska,7,7,11-Apr,34,Nebraska,Death Valley,1,Bracket screenshot,
2038,SF,2038_SF_1,Rapid City,4,4,14-1,10,Georgia,1,1,16-0,56,Georgia,Rapid City,1,Bracket screenshot,
2038,SF,2038_SF_2,Wyoming,3,3,15-1,42,Alabaster,2,2,14-1,41,Wyoming,Alabaster,1,Bracket screenshot,
2039,NCG,2039_NCG_1,Wyoming,2,2,15-1,35,Georgia,4,4,14-2,42,Georgia,Wyoming,1,Bracket screenshot,
2039,QF,2039_QF_1,Penn State,5,5,13-2,20,Georgia,4,4,14-2,56,Georgia,Penn State,1,Bracket screenshot,
2039,QF,2039_QF_2,Death Valley,9,9,13-3,35,Nebraska,1,1,13-1,21,Death Valley,Nebraska,1,Bracket screenshot,
2039,QF,2039_QF_3,Auburn,11,11,12-Mar,41,Bowling Green,3,3,12-Feb,31,Auburn,Bowling Green,1,Bracket screenshot,
2039,QF,2039_QF_4,Rapid City,10,10,12-Mar,16,Wyoming,2,2,15-1,45,Wyoming,Rapid City,1,Bracket screenshot,
2039,R1,2039_R1_1,Boise State,12,16,11-Mar,14,Penn State,5,5,13-2,45,Penn State,Boise State,1,Bracket screenshot,
2039,R1,2039_R1_2,Death Valley,9,9,13-3,28,Oklahoma,8,8,10-Mar,20,Death Valley,Oklahoma,1,Bracket screenshot,
2039,R1,2039_R1_3,Auburn,11,11,12-Mar,45,Ohio State,6,6,10-Mar,42,Auburn,Ohio State,1,Bracket screenshot,
2039,R1,2039_R1_4,Rapid City,10,10,12-Mar,60,Texas Tech,7,7,12-Feb,49,Rapid City,Texas Tech,1,Bracket screenshot,
2039,SF,2039_SF_1,Georgia,4,4,14-2,55,Death Valley,9,9,13-3,28,Georgia,Death Valley,1,Bracket screenshot,
2039,SF,2039_SF_2,Auburn,11,11,12-Mar,21,Wyoming,2,2,15-1,42,Wyoming,Auburn,1,Bracket screenshot,
2040,NCG,2040_NCG_1,Bowling Green,2,2,15-1,24,Wyoming,4,4,16-0,59,Wyoming,Bowling Green,1,Bracket screenshot,
2040,QF,2040_QF_1,Panama City,5,5,12-Mar,28,Wyoming,4,4,16-0,56,Wyoming,Panama City,1,Bracket screenshot,
2040,QF,2040_QF_2,Nebraska,8,8,11-Apr,35,Alabaster,1,1,14-1,38,Alabaster,Nebraska,1,Bracket screenshot,
2040,QF,2040_QF_3,USF,6,6,15-1,56,Penn State,3,3,12-Feb,38,USF,Penn State,1,Bracket screenshot,
2040,QF,2040_QF_4,Rapid City,10,10,11-Mar,14,Bowling Green,2,2,15-1,28,Bowling Green,Rapid City,1,Bracket screenshot,
2040,R1,2040_R1_1,USC,12,12,10-Mar,0,Panama City,5,5,12-Mar,27,Panama City,USC,1,Bracket screenshot,
2040,R1,2040_R1_2,Maryland,9,9,10-Mar,24,Nebraska,8,8,11-Apr,52,Nebraska,Maryland,1,Bracket screenshot,
2040,R1,2040_R1_3,Miami,11,11,10-Apr,31,USF,6,6,15-1,45,USF,Miami,1,Bracket screenshot,
2040,R1,2040_R1_4,Rapid City,10,10,11-Mar,28,Oklahoma,7,7,10-Mar,26,Rapid City,Oklahoma,1,Bracket screenshot,
2040,SF,2040_SF_1,Wyoming,4,4,16-0,49,Alabaster,1,1,14-1,37,Wyoming,Alabaster,1,Bracket screenshot,
2040,SF,2040_SF_2,USF,6,6,15-1,35,Bowling Green,2,2,15-1,38,Bowling Green,USF,1,Bracket screenshot,
2041,NCG,2041_NCG_1,Texas Tech,2,2,15-1,35,Florida State,1,1,14-2,28,Texas Tech,Florida State,1,CFP bracket screenshot,
2041,QF,2041_QF_1,Clemson,5,5,14-2,89,Bowling Green,4,4,12-Feb,77,Clemson,Bowling Green,1,Bracket screenshot,
2041,QF,2041_QF_2,Texas,9,9,11-Mar,27,Florida State,1,1,14-2,42,Florida State,Texas,1,Bracket screenshot,
2041,QF,2041_QF_3,USF,11,11,12-Mar,42,Rapid City,3,3,12-Feb,31,USF,Rapid City,1,Bracket screenshot,
2041,QF,2041_QF_4,Alabaster,7,7,11-Apr,38,Texas Tech,2,2,15-1,56,Texas Tech,Alabaster,1,Bracket screenshot,
2041,R1,2041_R1_1,San Diego State,12,12,12-Feb,43,Clemson,5,5,14-2,49,Clemson,San Diego State,1,Bracket screenshot,
2041,R1,2041_R1_2,Texas,9,9,11-Mar,40,San Jose State,8,8,10-Apr,27,Texas,San Jose State,1,Bracket screenshot,
2041,R1,2041_R1_3,USF,11,11,12-Mar,63,Texas A&M,6,6,10-Mar,34,USF,Texas A&M,1,Bracket screenshot,
2041,R1,2041_R1_4,Georgia Tech,10,10,11-Mar,28,Alabaster,7,7,11-Apr,49,Alabaster,Georgia Tech,1,Bracket screenshot,
2041,SF,2041_SF_1,Clemson,5,5,14-2,31,Florida State,1,1,14-2,34,Florida State,Clemson,1,Bracket screenshot,
2041,SF,2041_SF_2,USF,11,11,12-Mar,28,Texas Tech,2,2,15-1,42,Texas Tech,USF,1,Bracket screenshot,
2042,NCG,2042_NCG_1,USF,8,8,13-3,21,Bowling Green,2,2,15-1,35,Bowling Green,USF,1,,
2042,QF,2042_QF_1,Florida State,5,5,4-Dec,55,Notre Dame,4,4,2-Nov,10,Florida State,Notre Dame,1,,
2042,QF,2042_QF_2,USF,8,8,13-3,46,Texas Tech,1,1,13-1,43,USF,Texas Tech,1,,
2042,QF,2042_QF_3,Georgia Tech,6,6,14-2,38,Hammond,3,3,3-Nov,14,Georgia Tech,Hammond,1,,
2042,QF,2042_QF_4,Death Valley,7,7,3-Dec,20,Bowling Green,2,2,15-1,55,Bowling Green,Death Valley,1,,
2042,R1,2042_R1_1,West Virginia,12,20,13-1,14,Florida State,5,5,4-Dec,49,Florida State,West Virginia,1,,
2042,R1,2042_R1_2,Nebraska,9,9,4-Oct,42,USF,8,8,13-3,53,USF,Nebraska,1,,
2042,R1,2042_R1_3,Florida,11,11,4-Sep,35,Georgia Tech,6,6,14-2,38,Georgia Tech,Florida,1,,
2042,R1,2042_R1_4,Rapid City,10,10,3-Oct,27,Death Valley,7,7,3-Dec,40,Death Valley,Rapid City,1,,
2042,SF,2042_SF_1,Florida State,5,5,4-Dec,31,USF,8,8,13-3,43,USF,Florida State,1,,
2042,SF,2042_SF_2,Georgia Tech,6,6,14-2,35,Bowling Green,2,2,15-1,45,Bowling Green,Georgia Tech,1,,
