Year,ClassType,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2042,HS,17,Auburn,,16,0,8,8,0.0,0.0,198.6
2042,TRANSFER,17,Florida,Doug,8,0,8,0,0.0,0.0,144.6
2042,OVERALL,17,Oregon,,27,0,13,14,0.0,0.0,224.95
2042,HS,18,Oregon,,16,0,8,8,0.0,0.0,198.6
2042,TRANSFER,18,Washington,,10,0,4,5,1.0,0.0,144.2
2042,OVERALL,18,Washington,,28,0,13,14,1.0,0.0,224.6
2042,HS,19,Death Valley,,17,0,7,9,1.0,0.0,197.0
2042,TRANSFER,19,East Carolina,,12,0,0,12,0.0,0.0,142.8
2042,OVERALL,19,Auburn,,31,0,11,20,0.0,0.0,223.55
2042,HS,20,Tennessee,,18,0,6,12,0.0,0.0,196.6
2042,TRANSFER,20,Wake Forest,,12,0,0,12,0.0,0.0,142.8
2042,OVERALL,20,Rapid City,,21,1,11,9,0.0,0.0,221.2
2042,HS,21,Texas A&M,,16,0,7,9,0.0,0.0,194.9
2042,TRANSFER,21,Georgia,,9,0,5,4,0.0,0.0,142.65
2042,OVERALL,21,Hammond,,21,0,12,9,0.0,0.0,220.05
2042,HS,22,NC State,,17,1,4,12,0.0,0.0,194.75
2042,TRANSFER,22,Kansas State,,12,0,0,11,1.0,0.0,140.45
2042,OVERALL,22,Oklahoma,,23,0,11,12,0.0,0.0,219.8
2042,HS,23,Florida,Doug,13,1,8,4,0.0,0.0,193.45
2042,TRANSFER,23,San Diego State,,9,0,4,5,0.0,0.0,138.1
2042,OVERALL,23,Michigan,,25,0,11,14,0.0,0.0,218.55
2042,HS,24,Notre Dame,,12,2,7,3,0.0,0.0,192.25
2042,TRANSFER,24,Colorado,,12,0,0,10,2.0,0.0,137.75
2042,OVERALL,24,LSU,,30,0,9,21,0.0,0.0,217.7
2042,HS,25,LSU,,15,0,6,9,0.0,0.0,187.15
2042,TRANSFER,25,Texas,,10,0,2,8,0.0,0.0,137.6
2042,OVERALL,25,NC State,,28,1,7,18,2.0,0.0,217.5
2042,HS,26,Baylor,,15,0,5,10,0.0,0.0,182.85
2042,TRANSFER,26,Maryland,,11,0,0,11,0.0,0.0,135.75
2042,OVERALL,26,Texas A&M,,29,0,10,19,0.0,0.0,215.5
2042,HS,27,Clemson,,11,1,8,2,0.0,0.0,180.25
2042,TRANSFER,27,Toledo,,12,0,0,8,4.0,0.0,131.35
2042,OVERALL,27,Death Valley,,23,0,9,13,1.0,0.0,214.15
2042,HS,28,North Carolina,,12,0,8,4,0.0,0.0,178.95
2042,TRANSFER,28,Nebraska,,7,0,7,0,0.0,0.0,129.8
2042,OVERALL,28,Texas,,21,0,11,10,0.0,0.0,213.75
2042,OVERALL,29,11 Death Valley,,6,0,6,0,,,113.8
2042,HS,29,SMU,,12,0,7,5,0.0,0.0,175.25
2042,TRANSFER,29,Texas Tech,Noah,8,0,5,2,1.0,0.0,128.9
2042,OVERALL,29,Oklahoma State,,29,0,9,17,3.0,0.0,213.0
2042,OVERALL,30,10 Auburn,,6,0,6,0,,,113.8
2042,HS,30,Texas,,11,0,9,2,0.0,0.0,175.25
2042,TRANSFER,30,Penn State,,9,0,2,7,0.0,0.0,128.45
2042,OVERALL,30,Virginia Tech,,19,0,10,8,1.0,0.0,210.6
2042,HS,31,BYU,,22,0,0,20,2.0,0.0,173.4
2042,TRANSFER,31,Temple,,10,0,0,10,0.0,0.0,127.65
2042,OVERALL,31,TCU,,24,0,8,16,0.0,0.0,210.15
2042,OVERALL,32,16 Oregon,,5,0,4,1,0.0,0.0,92.05
2042,HS,32,Rapid City,,10,1,8,1,0.0,0.0,172.15
2042,TRANSFER,32,Fresno State,,10,0,0,10,0.0,0.0,127.65
2042,OVERALL,32,Tennessee,,30,0,7,22,1.0,0.0,209.25
2042,HS,33,Virginia Tech,,11,0,7,4,0.0,0.0,168.2
2042,TRANSFER,33,Virginia,,10,0,0,10,0.0,0.0,127.65
2042,OVERALL,33,Panama City,,27,0,7,20,0.0,0.0,208.25
2042,HS,34,TCU,,11,0,7,4,0.0,0.0,168.2
2042,TRANSFER,34,Clemson,,7,1,4,2,0.0,0.0,126.5
2042,OVERALL,34,North Carolina,,20,0,8,12,0.0,0.0,205.9
2042,OVERALL,35,2 Texas A&M,,6,0,5,1,,,109.5
2042,HS,35,Michigan,,11,0,7,4,0.0,0.0,168.2
2042,TRANSFER,35,Bowling Green,Devin,7,0,6,1,0.0,0.0,125.8
2042,OVERALL,35,San Diego St.,,21,0,7,13,1.0,0.0,205.15
2042,HS,36,Temple,,19,0,1,12,6.0,0.0,168.15
2042,TRANSFER,36,Air Force,,10,0,0,9,1.0,0.0,124.6
2042,OVERALL,36,Baylor,,28,0,6,19,3.0,0.0,204.55
2042,OVERALL,37,Hawaii,,16,0,0,7,7.0,2.0,138.0
2042,HS,37,East Carolina,,20,0,0,14,6.0,0.0,166.0
2042,TRANSFER,37,Wisconsin,,8,0,3,5,0.0,0.0,123.3
2042,OVERALL,37,SMU,,21,0,7,11,3.0,0.0,202.5
2042,HS,38,Michigan State,,20,0,3,5,12.0,0.0,165.6
2042,TRANSFER,38,Purdue,,10,0,0,8,2.0,0.0,121.25
2042,OVERALL,38,UCLA,,20,0,4,16,0.0,0.0,191.3
2042,OVERALL,39,6 Notre Dame,,5,2,3,0,,,106.55
2042,HS,39,Navy,,22,0,0,11,11.0,0.0,161.35
2042,TRANSFER,39,Virginia Tech,,8,0,3,4,1.0,0.0,119.6
